hausa,english
"Sun yi wannan tambaya ce don su sa masa tarko, don su sami hanyar zarge shi. Amma Yesu ya sunkuya ya fara rubutu a ƙasa da yatsarsa.","They said this testing him, that they might have something to accuse him of. But Jesus stooped down and wrote on the ground with his finger."
"Tausayinka da girma yake, ya Ubangiji; ka kiyaye raina bisa ga dokokinka.","Great are your tender mercies, Yahweh. Revive me according to your ordinances."
"Sa’an nan ka kai wa mahaifinka yă ci, domin yă sa maka albarka kafin yă mutu.”","You shall bring it to your father, that he may eat, so that he may bless you before his death.”"
"Kamar yadda kaya suke haɓaka, haka ma masu amfani da su. Kuma wane amfani ne suke ga mai shi in ba ciyar da idanunsa a kansu ba?","When goods increase, those who eat them are increased; and what advantage is there to its owner, except to feast on them with his eyes?"
"Dawuda ya kawo ƙasusuwan Shawulu da na ɗansa Yonatan daga can, a kuma aka tattara dukan ƙasusuwan waɗanda Gibeyonawan suka kashe, suka kuma rataye.",and he brought up from there the bones of Saul and the bones of Jonathan his son. They also gathered the bones of those who were hanged.
"“ ‘Saboda haka, ke karuwa, ki ji maganar Ubangiji!","“Therefore, prostitute, hear Yahweh’s word:"
Saboda haka za a yashe Isra’ila har sai wadda take naƙuda ta haihu sauran ’yan’uwansa kuma sun dawo su haɗu da Isra’ilawa.,Therefore he will abandon them until the time that she who is in labor gives birth. Then the rest of his brothers will return to the children of Israel.
"A shekara ta goma sha takwas ta mulkin Yerobowam ɗan Nebat, Abiyam ya zama sarkin Yahuda,","Now in the eighteenth year of King Jeroboam the son of Nebat, Abijam began to reign over Judah."
"Duk inda tafin ƙafanku ya taka, zai zama naku; iyakarku zai kama daga hamadan Lebanon da kuma daga Kogin Yuferites zuwa Bahar Rum.","Every place on which the sole of your foot treads shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even to the western sea shall be your border."
"Daga iyalin Heman, Yehiyel da Shimeyi. Daga zuriyar Yedutun, Shemahiya da Uzziyel.","and of the sons of Heman, Jehuel and Shimei; and of the sons of Jeduthun, Shemaiah and Uzziel."
"Hosa dangin Merari yana da ’ya’ya maza. Shimri na fari (ko da yake ba shi ne ɗan fari ba, mahaifinsa ya sa shi na fari),","Also Hosah, of the children of Merari, had sons: Shimri the chief (for though he was not the firstborn, yet his father made him chief),"
“Isra’ila garke ne da ya watse da zakoki suka kora. Na farkon da ya cinye shi sarkin Assuriya ne; na ƙarshen da ya ragargaza ƙasusuwansa Nebukadnezzar sarkin Babilon ne.”,"“Israel is a hunted sheep. The lions have driven him away. First, the king of Assyria devoured him, and now at last Nebuchadnezzar king of Babylon has broken his bones.”"
"Ni ne Ubangiji Allahnku, wanda ya fitar da ku daga Masar, don in ba ku ƙasar Kan’ana in kuma zama Allahnku.","I am Yahweh your God, who brought you out of the land of Egypt, to give you the land of Canaan, and to be your God."
"Sai Yahuda Iskariyot, ɗaya daga cikin Sha Biyun nan, ya je wajen manyan firistoci don yă bashe Yesu a gare su.","Judas Iscariot, who was one of the twelve, went away to the chief priests, that he might deliver him to them."
"Sai ta tafi, ta yi yadda Iliya ya faɗa mata. Saboda haka aka kasance da abinci kowace rana wa Iliya da kuma don macen da iyalinta.","She went and did according to the saying of Elijah; and she, he, and her household ate many days."
"Sai ya shiga jirgin ruwan tare da su, iskar kuma ta kwanta. Dukansu suka yi mamaki,","He got into the boat with them; and the wind ceased, and they were very amazed among themselves, and marveled;"
"Ka dawo ka ci abinci, ka kuma sha ruwa a wurin da na faɗa maka kada ka ci, ko ka sha. Saboda haka ba za a binne jikinka a kabarin kakanninka ba.’ ”","but came back, and have eaten bread and drank water in the place of which he said to you, “Eat no bread, and drink no water,” your body will not come to the tomb of your fathers.’”"
"Mutane za su yi ta tangaɗi daga teku zuwa teku suna yawo daga arewa zuwa kudu, suna neman maganar Ubangiji, amma ba za su samu ba.","They will wander from sea to sea, and from the north even to the east; they will run back and forth to seek Yahweh’s word, and will not find it."
"“Kamar a kwanakin da kuka fito daga Masar, zan nuna musu al’ajabaina.”","“As in the days of your coming out of the land of Egypt, I will show them marvelous things.”"
"Ya ba da umarni ya ce, “Yanka yaron nan mai rai, gida biyu, kowacce ta ɗauki rabi.”","The king said, “Divide the living child in two, and give half to the one, and half to the other.”"
Kai ne ka murƙushe kawunan dodon ruwa ka kuma ba da shi yă zama abinci ga halittun hamada.,You broke the heads of Leviathan in pieces. You gave him as food to people and desert creatures.
"Suka yi fushi da Irmiya suka sa aka yi masa dūka aka kuma jefa shi cikin kurkuku a gidan Yonatan magatakarda, gama an mai da gidansa ya zama kurkuku.","The princes were angry with Jeremiah, and struck him, and put him in prison in the house of Jonathan the scribe; for they had made that the prison."
Sama’ila ta tattara mutanen Isra’ila a gaban Ubangiji a Mizfa,Samuel called the people together to Yahweh to Mizpah;
Zai cece ka daga bala’o’i guda shida; har bakwai ma ba abin da zai same ka.,"He will deliver you in six troubles; yes, in seven no evil will touch you."
"Kedemot da Mefa’at, tare da wuraren kiwonsu;","Kedemoth with its pasture lands, and Mephaath with its pasture lands;"
"Da su wane ne kuwa ya yi fushi har shekaru arba’in? Ba da waɗanda suka yi zunubi, waɗanda suka mutu a hamada ba?","With whom was he displeased forty years? Wasn’t it with those who sinned, whose bodies fell in the wilderness?"
"Duk da haka dukan waɗanda suka karɓe shi, ga waɗanda suka gaskata a sunansa, ya ba su iko su zama ’ya’yan Allah","But as many as received him, to them he gave the right to become God’s children, to those who believe in his name:"
"Yaƙub ya ƙaunaci Rahila, sai ya ce, “Zan yi maka aiki na shekaru bakwai domin ƙaramar ’yarka Rahila.”","Jacob loved Rachel. He said, “I will serve you seven years for Rachel, your younger daughter.”"
"Makiyayan kuwa suka koma, suna ɗaukaka suna kuma yabon Allah saboda dukan abubuwan da suka ji, suka kuma gani, yadda aka gaya musu.","The shepherds returned, glorifying and praising God for all the things that they had heard and seen, just as it was told them."
"Sai yă sa macen tă sha ruwa mai ɗaci, mai jawo la’ana, wannan ruwa kuwa zai shiga cikinta yă kawo mata wahala mai zafi.",He shall make the woman drink the water of bitterness that causes the curse; and the water that causes the curse shall enter into her and become bitter.
Muryar Ubangiji mai iko ce; muryar Ubangiji da girma take.,Yahweh’s voice is powerful. Yahweh’s voice is full of majesty.
"A filin haikali ya sami mutane suna sayar da shanu, tumaki da tattabaru, waɗansu kuma zaune a tebur suna canjin kuɗi.","He found in the temple those who sold oxen, sheep, and doves, and the changers of money sitting."
"Duk lokacin da ruhun nan daga Allah ya sauko a kan Shawulu, sai Dawuda yă ɗauki molonsa yă kaɗa. Sa’an nan sauƙi yă zo wa Shawulu, mugun ruhu kuma yă rabu da shi.","When the spirit from God was on Saul, David took the harp and played with his hand; so Saul was refreshed and was well, and the evil spirit departed from him."
"sai Rebeka ta ce wa ɗanta Yaƙub, “Ka ji nan, na ji mahaifinka ya ce wa ɗan’uwanka Isuwa,","Rebekah spoke to Jacob her son, saying, “Behold, I heard your father speak to Esau your brother, saying,"
"Bayan haka, mu da muke da rai da aka bari, za a ɗauke mu tare da su a cikin gizagizai don mu sadu da Ubangiji a sararin sama. Ta haka za mu kasance tare da Ubangiji har abada.","then we who are alive, who are left, will be caught up together with them in the clouds to meet the Lord in the air. So we will be with the Lord forever."
Babu abokin gāban da zai sa yă biya haraji; babu mugun mutumin da zai danne shi.,No enemy will tax him. No wicked man will oppress him.
"Za a ƙasƙantar da ke, za ki ƙi yin magana daga ƙasa; maganarki za tă yi ƙasa-ƙasa daga ƙura. Muryarki za tă zama kamar fatalwa daga ƙasa; daga ƙura maganarki zai fito ƙasa-ƙasa.","You will be brought down, and will speak out of the ground. Your speech will mumble out of the dust. Your voice will be as of one who has a familiar spirit, out of the ground, and your speech will whisper out of the dust."
"Musa da Eleyazar firist suka yi musu magana a filayen Mowab kusa da Urdun daga ƙetaren Yeriko, suka ce,","Moses and Eleazar the priest spoke with them in the plains of Moab by the Jordan at Jericho, saying,"
Za su yi waɗannan abubuwa ne domin ba su san Uba ko ni ba.,They will do these things because they have not known the Father nor me.
"Mun tambayi dattawan muka ce musu, “Wa ya ba ku iko ku sāke gina wannan haikali, ku kuma sāke gyara katangarsa?”","Then we asked those elders, and said to them thus, “Who gave you a decree to build this house, and to finish this wall?”"
"Ku ƙaunaci Ubangiji Allahnku da dukan zuciyarku, da dukan ranku, da kuma dukan ƙarfinku.","You shall love Yahweh your God with all your heart, with all your soul, and with all your might."
"Wataƙila zan ɗan jima a wajenku, ko ma in ci damina a can, domin ku yi mini rakiya a tafiyata, duk inda za ni.","But with you it may be that I will stay with you, or even winter with you, that you may send me on my journey wherever I go."
"Za ka mutu a fili, gama haka ni na faɗa, in ji Ubangiji Mai Iko Duka.","You will fall on the open field, for I have spoken it,” says the Lord Yahweh."
"Bayan ya nemi shawara, sai sarki ya yi siffofin ’yan maruƙa biyu na zinariya. Ya ce wa mutane, “Kun daɗe kuna haurawa zuwa can Urushalima. Ga allolinku, ya Isra’ila, waɗanda suka fitar da ku daga ƙasar Masar.”","So the king took counsel, and made two calves of gold; and he said to them, “It is too much for you to go up to Jerusalem. Look and behold your gods, Israel, which brought you up out of the land of Egypt!”"
"Baƙi za su mallaki Ashdod, kuma zan kawar da girman kan Filistiyawa.","Foreigners will dwell in Ashdod, and I will cut off the pride of the Philistines."
Sai ka lura ka yi su daidai bisa ga fasalin da aka nuna maka a kan dutse.,"See that you make them after their pattern, which has been shown to you on the mountain."
"Amma ya ce musu, “Kada ku tsai da ni, tun da Ubangiji ya ba ni nasara a tafiyata. Ku sallame ni domin in tafi wurin maigidana.”","He said to them, “Don’t hinder me, since Yahweh has prospered my way. Send me away that I may go to my master.”"
"Igal ɗan Yusuf, daga kabilar Issakar;","Of the tribe of Issachar, Igal the son of Joseph."
"“ ‘Sa’an nan waɗanda suke zama a garuruwan Isra’ila za su fita su tattara makamai su hura wuta da su su kuma ƙone su, manya da ƙanana garkuwoyi, bakkuna da kibiyoyi, kulake da māsu. Shekara bakwai za su yi amfani da su don hura wuta.","“‘“Those who dwell in the cities of Israel will go out and will make fires of the weapons and burn them, both the shields and the bucklers, the bows and the arrows, and the war clubs and the spears, and they will make fires with them for seven years;"
Ya sa ƙafafuna kamar ƙafafun barewa; ya sa na iya tsaya a kan ƙwanƙoli.,"He makes my feet like deer’s feet, and sets me on my high places."
"Obadiya ɗan Shemahiya, ɗan Galal, ɗan Yedutun; da Berekiya ɗan Asa, ɗan Elkana, wanda ya zauna a ƙauyukan Netofawa.","and Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun; and Berechiah the son of Asa, the son of Elkanah, who lived in the villages of the Netophathites."
"Ya haura zuwa haikalin Ubangiji tare da mutanen Yahuda, mutanen Urushalima, firistoci da Lawiyawa, dukan mutane daga ƙarami zuwa babba. Ya karanta dukan kalmomin Littafin Alkawari wanda aka samu a cikin haikalin Ubangiji a kunnuwansu.","The king went up to Yahweh’s house with all the men of Judah and the inhabitants of Jerusalem—the priests, the Levites, and all the people, both great and small—and he read in their hearing all the words of the book of the covenant that was found in Yahweh’s house."
"Da Musa ya hau dutsen, sai girgije ya rufe dutsen,","Moses went up on the mountain, and the cloud covered the mountain."
don kuma su sami ikon fitar da aljanu.,and to have authority to heal sicknesses and to cast out demons:
"Amma Ubangiji ya ce masa, “Salama! Kada ka ji tsoro, ba za ka mutu ba.”","Yahweh said to him, “Peace be to you! Don’t be afraid. You shall not die.”"
"Su kamar raƙuman ruwan teku ne masu hauka, suna taƙama da tumbatsan kumfar kunyarsu. Su kamar taurari ne masu yawo barkatai, waɗanda aka ajiye mugun duhu saboda su har abada.","wild waves of the sea, foaming out their own shame; wandering stars, for whom the blackness of darkness has been reserved forever."
Yana nan tare da Allah tun farar farawa.,The same was in the beginning with God.
Ina marmari in zauna a tentinka har abada in sami mafaka a cikin inuwar fikafikanka. Sela,I will dwell in your tent forever. I will take refuge in the shelter of your wings. Selah.
"Sai wani doki ya fito, ja wur. Aka ba wa mai hawansa iko yă ɗauke salama daga duniya yă kuma sa mutane su kashe juna. Aka ba shi babban takobi.","Another came out, a red horse. To him who sat on it was given power to take peace from the earth, and that they should kill one another. There was given to him a great sword."
"Daga iyakokin duniya mun ji waƙoƙi, “Ɗaukaka ga Mai Adalcin nan.” Amma na ce, “Na lalace, na lalace! Kaitona! Munafukai sun ci amana! Da munafunci munafukai sun ci amana!”","From the uttermost part of the earth have we heard songs. Glory to the righteous! But I said, “I pine away! I pine away! woe is me!” The treacherous have dealt treacherously. Yes, the treacherous have dealt very treacherously."
"Bitrus ya fitar da su duka daga ɗakin; sa’an nan ya durƙusa ya yi addu’a. Da ya juya wajen matacciyar, sai ya ce, “Tabita, tashi.” Ta buɗe idanunta, ta ga Bitrus sai ta tashi zaune.","Peter sent them all out, and knelt down and prayed. Turning to the body, he said, “Tabitha, get up!” She opened her eyes, and when she saw Peter, she sat up."
Haka za a yi da kowannensu bisa ga abin da aka shirya.,"According to the number that you shall prepare, so you shall do to everyone according to their number."
"Waɗanda suke na Kiristi Yesu, sun gicciye mutuntaka tare da abubuwan da mutum yake marmari da kuma sha’awace-sha’awacensa.",Those who belong to Christ have crucified the flesh with its passions and lusts.
"Shirye-shirye sukan lalace saboda rashin neman shawara, amma tare da mashawarta masu yawa za su yi nasara.","Where there is no counsel, plans fail; but in a multitude of counselors they are established."
"Waɗannan su ne umarnai, ƙa’idodi da kuma dokokin da Ubangiji Allahnku ya umarce ni in koya muku don ku kiyaye a ƙasar da kuke haye Urdun don mallaka,","Now these are the commandments, the statutes, and the ordinances, which Yahweh your God commanded to teach you, that you might do them in the land that you go over to possess;"
"A kwanakin nan wani taro mai girma ya taru. Tun da yake ba su da abin da za su ci, sai Yesu ya kira almajiransa ya ce,","In those days, when there was a very great multitude, and they had nothing to eat, Jesus called his disciples to himself and said to them,"
"Sai ya ce mini, “Waɗannan su ne ɗakunan dahuwa inda masu hidima a haikali za su dafa hadayun da jama’a.”","Then he said to me, “These are the boiling houses, where the ministers of the house shall boil the sacrifice of the people.”"
"Sa’ad da taron suka ga abin da Bulus ya yi, sai suka ihu da harshen Likayoniyawa, suna cewa, “Alloli sun sauka mana da siffar mutane!”","When the multitude saw what Paul had done, they lifted up their voice, saying in the language of Lycaonia, “The gods have come down to us in the likeness of men!”"
"Ku warkar da marasa lafiya, ku tā da matattu, ku tsabtacce kutare, ku kuma fitar da aljanu. A kyauta kuka samu, ku kuma bayar a kyauta.","Heal the sick, cleanse the lepers, and cast out demons. Freely you received, so freely give."
"Jibi wajajen yamma, ka tafi wurin da ka ɓuya lokacin da wannan matsala ta fara, ka tsaya kusa da dutsen Etsel.","When you have stayed three days, go down quickly and come to the place where you hid yourself when this started, and remain by the stone Ezel."
"Amma sa’ad da sarki ya sami labarin maƙarƙashiyar, sai ya ba da umarnai a rubuce cewa mugun shirin da Haman ya ƙulla a kan Yahudawa yă komo kansa, kuma cewa a rataye shi da ’ya’yansa maza a kan gumagumai.","but when this became known to the king, he commanded by letters that his wicked plan, which he had planned against the Jews, should return on his own head, and that he and his sons should be hanged on the gallows."
"Ku miƙa su kawai a wurin da Ubangiji zai zaɓa a cikin ɗaya daga kabilanku, a can za ku yi kowane abin da na umarce ku.","but in the place which Yahweh chooses in one of your tribes, there you shall offer your burnt offerings, and there you shall do all that I command you."
"Ka more rayuwa da matarka, wadda kake ƙauna, dukan kwanakin nan marasa amfani da Allah ya ba ka a duniya. Gama wannan ne rabonka a rayuwa da kuma na faman aikinka a duniya.","Live joyfully with the wife whom you love all the days of your life of vanity, which he has given you under the sun, all your days of vanity, for that is your portion in life, and in your labor in which you labor under the sun."
"Abin farin ciki ne ga mutanenka! Abin farin ciki ne ga fadawanka, waɗanda suke cin gaba da tsayawa a gabanka suna kuma jin hikimarka!","Happy are your men, and happy are these your servants, who stand continually before you and hear your wisdom."
"Ka ji roƙon bawanka da kuma na mutanenka Isra’ila sa’ad da suka yi addu’a, suka fuskanci wannan wuri. Ka ji daga sama, mazauninka, kuma sa’ad da ka ji, ka gafarta.","Listen to the supplication of your servant, and of your people Israel, when they pray toward this place. Yes, hear in heaven, your dwelling place; and when you hear, forgive."
"Sai dattawan nan ashirin da huɗu da suke zaune a kursiyoyinsu a gaban Allah, suka fāɗi da fuskokinsu a ƙasa suka kuma yi wa Allah sujada,","The twenty-four elders, who sit on their thrones before God’s throne, fell on their faces and worshiped God,"
"Kashegari, Yahudawa suka ƙulla makirci suka kuma yi rantsuwa cewa ba za su ci ko sha ba sai sun kashe Bulus.","When it was day, some of the Jews banded together and bound themselves under a curse, saying that they would neither eat nor drink until they had killed Paul."
"Amma Dawuda bai iya zuwa gabansa don yă yi tambaya ga Allah ba, gama yana jin tsoron takobin mala’ikan Ubangiji.","But David couldn’t go before it to inquire of God, for he was afraid because of the sword of Yahweh’s angel."
"Ku yi murna da farin ciki, ya Diyar Edom, ke mai zama a ƙasar Uz. Amma ke ma za a ba ki kwaf; za ki bugu ki zama tsirara.","Rejoice and be glad, daughter of Edom, who dwells in the land of Uz. The cup will pass through to you also. You will be drunken, and will make yourself naked."
"’Ya’yan Ezra maza su ne, Yeter, Mered, Efer da Yalon. Ɗaya daga cikin matan Mered ta haifi Miriyam, Shammai da Ishba wanda ya haifi Eshtemowa.","The sons of Ezrah: Jether, Mered, Epher, and Jalon; and Mered’s wife bore Miriam, Shammai, and Ishbah the father of Eshtemoa."
"waɗanda suka gangara zuwa Masar ba tare da sun nemi shawarata; waɗanda suke neman taimakon kāriyar Fir’auna, don neman inuwar mafakar Masar.","who set out to go down into Egypt without asking for my advice, to strengthen themselves in the strength of Pharaoh, and to take refuge in the shadow of Egypt!"
"Sarakunan guda biyar suka gudu, suka ɓuya a cikin kogo a Makkeda.","These five kings fled, and hid themselves in the cave at Makkedah."
"Gama Mahaliccinki shi ne mijinki, Ubangiji Maɗaukaki ne sunansa, Mai Tsarkin nan na Isra’ila ne Mai Fansarki; ana ce da shi Allahn dukan duniya.",For your Maker is your husband; Yahweh of Armies is his name. The Holy One of Israel is your Redeemer. He will be called the God of the whole earth.
"Wata rana da Elisha ya zo, sai ya haura ɗakinsa ya kwanta.","One day he came there, and he went to the room and lay there."
"Yesu ya ce, “Ku bar yara ƙanana su zo wurina, kada ku hana su, gama mulkin sama na irin waɗannan ne.”","But Jesus said, “Allow the little children, and don’t forbid them to come to me; for the Kingdom of Heaven belongs to ones like these.”"
"Za a ba da kofin rubutun a matsayin doka a kowane lardi, a kuma sanar da mutanen kowace al’umma, domin su zauna da shiri don wannan rana.","A copy of the letter, that the decree should be given out in every province, was published to all the peoples, that they should be ready against that day."
Ba ya ba da bashi da ruwa ko ya karɓa ƙarin riba. Yakan janye hannunsa daga aikata mugunta yakan kuma yi shari’a cikin gaskiya tsakanin mutum da mutum.,"he who hasn’t lent to them with interest, hasn’t taken any increase from them, who has withdrawn his hand from iniquity, has executed true justice between man and man,"
