hausa,english,confidence_score
tola,tola,1.0
kena,chenaanah,1.0
yezer,jezer,1.0
asriyel,asriel,1.0
zelofehad,zelophehad,1.0
ulam,ulam,1.0
shemida,shemida,1.0
sheyan,shean,1.0
megiddo,megiddo,1.0
malkiyel,malchiel,1.0
beker,becher,1.0
ashbel,ashbel,1.0
lod,lod,1.0
ono,ono,1.0
arad,arad,1.0
ataliya,athaliah,1.0
azel,azel,1.0
hasshub,hasshub,1.0
galal,galal,1.0
ahiman,ahiman,1.0
talmon,talmon,1.0
istifanas,stephanas,1.0
fentekos,pentecost,1.0
gayus,gaius,1.0
takunkumi,muzzle,1.0
magabcin,antichrist,1.0
kayinu,cain,1.0
lebanon,lebanon,1.0
hauren,ivory,1.0
faran,paran,1.0
nebat,nebat,1.0
kemosh,chemosh,1.0
shishak,shishak,1.0
tirza,tirzah,1.0
abiyam,abijam,1.0
kidron,kidron,1.0
asha,baasha,1.0
iyon,ijon,1.0
gibbeton,gibbethon,1.0
yezebel,jezebel,1.0
tishbe,tishbite,1.0
zarefat,zarephath,1.0
kishon,kishon,1.0
nimshi,nimshi,1.0
horeb,horeb,1.0
batsheba,bathsheba,1.0
abishag,abishag,1.0
shunam,shunammite,1.0
gihon,gihon,1.0
rogel,rogel,1.0
afek,aphek,1.0
eziyon,ezion,1.0
geber,geber,1.0
akish,achish,1.0
barzillai,barzillai,1.0
zaretan,zarethan,1.0
argob,argob,1.0
basemat,basemath,1.0
hizzob,hyssop,1.0
elon,elon,1.0
sukkot,succoth,1.0
hazor,hazor,1.0
alat,baalath,1.0
elot,eloth,1.0
fontus,pontus,1.0
saratu,sarah,1.0
bezek,bezek,1.0
sisera,sisera,1.0
merab,merab,1.0
shur,shur,1.0
azeka,azekah,1.0
ekron,ekron,1.0
nayiwot,naioth,1.0
hofni,hophni,1.0
doyeg,doeg,1.0
hakila,hachilah,1.0
zifawa,ziphites,1.0
gedi,gedi,1.0
layish,laish,1.0
shunem,shunem,1.0
besor,besor,1.0
ebenezer,ebenezer,1.0
ashkelon,ashkelon,1.0
filibbi,philippi,1.0
atens,athens,1.0
alekzanda,alexander,1.0
zora,zorah,1.0
lakish,lachish,1.0
efron,ephron,1.0
gerar,gerar,1.0
oded,oded,1.0
mayim,maim,1.0
larabawa,arabians,1.0
amoz,amoz,1.0
ofel,ophel,1.0
hinnom,hinnom,1.0
feka,pekah,1.0
remaliya,remaliah,1.0
eden,eden,1.0
algum,algum,1.0
konaniya,conaniah,1.0
miniyamin,miniamin,1.0
ahikam,ahikam,1.0
annabiya,prophetess,1.0
karkemish,carchemish,1.0
makawa,remedy,1.0
eliyakim,eliakim,1.0
toruwas,troas,1.0
arnon,arnon,1.0
elat,elath,1.0
menahem,menahem,1.0
yanowa,janoah,1.0
rezin,rezin,1.0
kir,kir,1.0
sefarfayim,sepharvaim,1.0
nergal,nergal,1.0
adrammelek,adrammelech,1.0
iffa,ivvah,1.0
esar,esar,1.0
ararat,ararat,1.0
sharezer,sharezer,1.0
zebub,zebub,1.0
tofet,topheth,1.0
hamutal,hamutal,1.0
ribla,riblah,1.0
elnatan,elnathan,1.0
kareya,kareah,1.0
ibileyam,ibleam,1.0
kimham,chimham,1.0
bikri,bichri,1.0
rizfa,rizpah,1.0
zalmon,zalmon,1.0
arauna,araunah,1.0
helkat,helkath,1.0
listira,lystra,1.0
demas,demas,1.0
luka,luke,1.0
tikikus,tychicus,1.0
miletus,miletus,1.0
turofimus,trophimus,1.0
erastus,erastus,1.0
demetiriyus,demetrius,1.0
fatu,tanner,1.0
kalaudiyus,claudius,1.0
muƙaddas,proconsul,1.0
famfiliya,pamphylia,1.0
ferga,perga,1.0
derbe,derbe,1.0
silisiya,cilicia,1.0
tiyatira,thyatira,1.0
firjiya,phrygia,1.0
yason,jason,1.0
kaisar,caesar,1.0
galliyo,gallio,1.0
yustus,justus,1.0
artemis,artemis,1.0
aristarkus,aristarchus,1.0
alfayus,alphaeus,1.0
zilot,zealot,1.0
filibus,philip,1.0
bartolomeyu,bartholomew,1.0
toma,thomas,1.0
gamaliyel,gamaliel,1.0
sadukiyawa,sadducees,1.0
bernis,bernice,1.0
kirit,crete,1.0
kayifas,caiaphas,1.0
annas,annas,1.0
hamor,hamor,1.0
lidda,lydda,1.0
amos,amos,1.0
keriyot,kerioth,1.0
kaftor,caphtor,1.0
efafaras,epaphras,1.0
lawodiseya,laodicea,1.0
belteshazar,belteshazzar,1.0
mishayel,mishael,1.0
ariyok,arioch,1.0
belshazar,belshazzar,1.0
damisa,leopard,1.0
jibra,gabriel,1.0
bene,bene,1.0
yotbata,jotbathah,1.0
gerizim,gerizim,1.0
ƙege,fins,1.0
hankaka,raven,1.0
rababben,cud,1.0
kofato,hoof,1.0
hazerot,hazeroth,1.0
kadesh,kadesh,1.0
barneya,barnea,1.0
eshkol,eshcol,1.0
anakawa,anakim,1.0
edireyi,edrei,1.0
adma,zeboiim,1.0
emawa,emim,1.0
horiyawa,horites,1.0
zered,zered,1.0
yabbok,jabbok,1.0
yeshurun,jeshurun,1.0
hor,hor,1.0
zin,zin,1.0
fisga,pisgah,1.0
zowar,zoar,1.0
feyor,peor,1.0
hatta,hattaavah,1.0
bashti,vashti,1.0
memukan,memucan,1.0
esta,esther,1.0
hegai,hegai,1.0
hammedata,hammedatha,1.0
fur,pur,1.0
zeresh,zeresh,1.0
furim,purim,1.0
elim,elim,1.0
refidim,rephidim,1.0
ungozomomin,midwives,1.0
tofaz,topaz,1.0
ametis,jacinth,1.0
yasfa,jasper,1.0
kwalta,tar,1.0
ahisamak,ahisamach,1.0
oholiyab,oholiab,1.0
goshen,goshen,1.0
kebar,chebar,1.0
azzur,azzur,1.0
dundurusai,battering,1.0
oholiba,oholibah,1.0
ohola,oholah,1.0
yeshimot,jeshimoth,1.0
memfis,memphis,1.0
zowan,zoan,1.0
enan,enan,1.0
shabbetai,shabbethai,1.0
yozadak,jozadak,1.0
kelita,kelita,1.0
farosh,parosh,1.0
bebai,bebai,1.0
fahat,pahathmoab,1.0
mattenai,mattenai,1.0
hashum,hashum,1.0
meremot,meremoth,1.0
sheshbazzar,sheshbazzar,1.0
azgad,azgad,1.0
adonikam,adonikam,1.0
bigwai,bigvai,1.0
ater,ater,1.0
bezai,bezai,1.0
rehum,rehum,1.0
kefira,chephirah,1.0
hadid,hadid,1.0
kadmiyel,kadmiel,1.0
ziha,ziha,1.0
giddel,giddel,1.0
nekoda,nekoda,1.0
harsha,harsha,1.0
henadad,henadad,1.0
artazerzes,artaxerxes,1.0
shimshai,shimshai,1.0
haggai,haggai,1.0
tattenai,tattenai,1.0
ahawa,ahava,1.0
yohiyarib,joiarib,1.0
sherebiya,sherebiah,1.0
abba,abba,1.0
milka,milcah,1.0
goyim,goiim,1.0
kedorlayomer,chedorlaomer,1.0
siddim,siddim,1.0
salem,salem,1.0
royi,lahai,1.0
fikol,phicol,1.0
makfela,machpelah,1.0
faddan,paddan,1.0
luz,luz,1.0
zilfa,zilpah,1.0
debora,deborah,1.0
fotifera,potiphera,1.0
zilla,zillah,1.0
kushan,cushan,1.0
rahab,rahab,1.0
barak,barak,1.0
akor,achor,1.0
oreb,oreb,1.0
dibon,dibon,1.0
eleyale,elealeh,1.0
sibma,sibmah,1.0
immanuwel,immanuel,1.0
ziffor,zippor,1.0
eshtawol,eshtaol,1.0
lehi,lehi,1.0
muƙamuƙin,jawbone,1.0
delila,delilah,1.0
sheshai,sheshai,1.0
akzib,achzib,1.0
adoni,adoni,1.0
abinowam,abinoam,1.0
haroshet,harosheth,1.0
yayel,jael,1.0
zeyib,zeeb,1.0
zalmunna,zebah,1.0
zebul,zebul,1.0
nehelam,nehelamite,1.0
gemariya,gemariah,1.0
neriya,neriah,1.0
baruk,baruch,1.0
yehudi,jehudi,1.0
hoshahiya,hoshaiah,1.0
holon,holon,1.0
dibilatayim,diblathaim,1.0
zofar,zophar,1.0
bildad,bildad,1.0
betani,bethany,1.0
marta,martha,1.0
didaimus,didymus,1.0
hosanna,hosanna,1.0
betsaida,bethsaida,1.0
iskariyot,iscariot,1.0
hujja,excuse,1.0
golgota,golgotha,1.0
magdalin,magdalene,1.0
soso,sponge,1.0
arimateya,arimathaea,1.0
aloyes,aloes,1.0
nikodimus,nicodemus,1.0
natanayel,nathanael,1.0
tibariya,tiberias,1.0
kafarnahum,capernaum,1.0
makkeda,makkedah,1.0
yarmut,jarmuth,1.0
akshaf,achshaph,1.0
nimra,nimrah,1.0
bakenizze,kenizzite,1.0
hogla,hoglah,1.0
atarot,ataroth,1.0
azazel,scapegoat,1.0
kwiɓi,loins,1.0
elzebub,beelzebul,1.0
kanari,sparrows,1.0
mustad,mustard,1.0
allura,needle,1.0
betfaji,bethsphage,1.0
hiridiyas,herodias,1.0
salmon,salmon,1.0
gennesaret,gennesaret,1.0
alabasta,alabaster,1.0
dekafolis,decapolis,1.0
bunni,bunni,1.0
yadduwa,jaddua,1.0
meshezabel,meshezabel,1.0
bakbukiya,bakbukiah,1.0
yohiyada,joiada,1.0
yohiyakim,joiakim,1.0
sanballat,sanballat,1.0
zuwar,zuar,1.0
helon,helon,1.0
shedeyur,elizur,1.0
zurishaddai,zurishaddai,1.0
deyuwel,deuel,1.0
eliyasaf,eliasaph,1.0
fedazur,pedahzur,1.0
gideyoni,gideoni,1.0
ammishaddai,ammishaddai,1.0
okran,pagiel,1.0
ahira,ahira,1.0
obot,oboth,1.0
miktam,poem,1.0
halleluya,hallelujah,1.0
sardis,sardis,1.0
alfa,omega,1.0
elimelek,elimelech,1.0
kiliyon,chilion,1.0
malon,mahlon,1.0
efraim,ephraim,0.994
yehoshafat,jehoshaphat,0.9934
yeriko,jericho,0.9915
damaskus,damascus,0.991
sodom,sodom,0.9895
yesse,jesse,0.9885
asher,asher,0.9885
urushalima,jerusalem,0.9882
sinai,sinai,0.987
yehohiyakim,jehoiakim,0.9863
heshbon,heshbon,0.9863
hamat,hamath,0.9859
kiriyat,kiriath,0.9855
sidon,sidon,0.9855
absalom,absalom,0.9836
nun,nun,0.9836
shekem,shechem,0.9831
yeshuwa,jeshua,0.9825
hananiya,hananiah,0.9818
irmiya,jeremiah,0.9815
shallum,shallum,0.9811
ramot,ramoth,0.9811
yowab,joab,0.9804
bowaz,boaz,0.9804
abishai,abishai,0.9796
yohanan,johanan,0.9796
timoti,timothy,0.9796
dariyus,darius,0.9796
eleyazar,eleazar,0.9793
yerobowam,jeroboam,0.9789
gomorra,gomorrah,0.9787
sihiyona,zion,0.9783
haruna,aaron,0.978
manasse,manasseh,0.9779
urdun,jordan,0.9779
amnon,amnon,0.9778
og,og,0.9778
rahila,rachel,0.9778
betel,bethel,0.9771
ahaz,ahaz,0.9762
isra,israel,0.9758
yabesh,jabesh,0.9756
nadab,nadab,0.9756
makir,machir,0.9756
amaziya,amaziah,0.975
obadiya,obadiah,0.9744
sairus,cyrus,0.9744
shusha,susa,0.9744
sela,selah,0.974
asabbaci,sabbath,0.9739
kaleb,caleb,0.9737
gilgal,gilgal,0.9737
dawuda,david,0.9736
yeyarim,jearim,0.973
geba,geba,0.973
nabot,naboth,0.973
nabal,nabal,0.973
daniyel,daniel,0.9718
afisa,ephesus,0.9714
solomon,solomon,0.9706
ibrahim,abraham,0.9706
sihon,sihon,0.9706
babilon,babylon,0.9698
yehohiyada,jehoiada,0.9697
uzziyel,uzziel,0.9697
mikal,michal,0.9697
ham,ham,0.9697
ahimelek,ahimelech,0.9697
ner,ner,0.9697
arower,aroer,0.9697
shaiɗan,satan,0.9691
zebulun,zebulun,0.9684
zoba,zobah,0.9677
azariya,azariah,0.9677
hezekiya,hezekiah,0.9677
zerzes,ahasuerus,0.9677
rabbi,rabbi,0.9677
rebeka,rebekah,0.9667
yonatan,jonathan,0.9662
rabba,rabbah,0.9655
galili,galilee,0.965
elam,elam,0.9643
abiya,abijah,0.9643
shimeyi,shimei,0.9639
mizfa,mizpah,0.9639
ayuba,job,0.9636
obed,obed,0.963
iddo,iddo,0.963
tamar,tamar,0.963
zimri,zimri,0.963
adoniya,adonijah,0.963
nebo,nebo,0.963
bafilistin,philistine,0.963
araba,arabah,0.963
ziba,ziba,0.963
mefiboshet,mephibosheth,0.963
festus,festus,0.963
abednego,abednego,0.963
ishaya,isaiah,0.9623
mordekai,mordecai,0.9623
samariya,samaria,0.9617
zedekiya,zedekiah,0.9612
laban,laban,0.9608
ziklag,ziklag,0.96
amram,amram,0.96
hosheya,hoshea,0.96
hushai,hushai,0.96
titus,titus,0.96
andarawus,andrew,0.96
eglon,eglon,0.96
musa,moses,0.9599
filistiyawa,philistines,0.9593
gibeyon,gibeon,0.9589
asehiya,maaseiah,0.9583
hebron,hebron,0.9571
berekiya,berechiah,0.9565
yayir,jair,0.9565
hazar,hazar,0.9565
shemesh,shemesh,0.9565
kedesh,kedesh,0.9565
rehob,rehob,0.9565
tabor,tabor,0.9565
fashhur,pashhur,0.9565
makidoniya,macedonia,0.9565
agiriffa,agrippa,0.9565
cara,rooster,0.9565
gileyad,gilead,0.9562
ishaku,isaac,0.9558
nebukadnezzar,nebuchadnezzar,0.9556
ahiya,ahijah,0.9545
isuwa,esau,0.9545
liyatu,leah,0.9538
yoshuwa,joshua,0.9535
benahiya,benaiah,0.9524
yeroham,jeroham,0.9524
gog,gog,0.9524
afollos,apollos,0.9524
akayya,achaia,0.9524
gaza,gaza,0.9524
barabbas,barabbas,0.9524
zebedi,zebedee,0.9524
efod,ephod,0.9512
lilin,linen,0.9508
rimmon,rimmon,0.95
benyamin,benjamin,0.9496
taya,tyre,0.9492
masar,egypt,0.9491
bitrus,peter,0.9486
betlehem,bethlehem,0.9485
ahab,ahab,0.948
yozabad,jozabad,0.9474
arfakshad,arpachshad,0.9474
zakkur,zaccur,0.9474
bezalel,bezalel,0.9474
geshur,geshur,0.9474
ammihud,ammihud,0.9474
abiram,abiram,0.9474
cokula,shovels,0.9474
ashdod,ashdod,0.9474
antiyok,antioch,0.9474
korneliyus,cornelius,0.9474
akwatin,ark,0.9468
bilatus,pilate,0.9464
shawulu,saul,0.946
mikahiya,micaiah,0.9455
ƙirya,acacia,0.9455
farisiyawa,pharisees,0.9448
kaisariya,caesarea,0.9444
yahuda,judah,0.9441
sheba,sheba,0.9412
bozra,bozrah,0.9412
yakin,jachin,0.9412
yerameyel,jerahmeel,0.9412
yehohanan,jehohanan,0.9412
ofra,ophrah,0.9412
abdon,abdon,0.9412
kunamai,scorpions,0.9412
felis,felix,0.9412
datan,dathan,0.9412
nehemiya,nehemiah,0.9412
dina,dinah,0.9412
elizabet,elizabeth,0.9412
ubangiji,yahweh,0.941
fir,pharaoh,0.9407
assuriya,assyria,0.9407
shunayya,purple,0.94
siman,simon,0.9388
asahel,asahel,0.9375
heman,heman,0.9375
ela,elah,0.9375
ahaziya,ahaziah,0.9375
maryamu,mary,0.9375
zera,zerah,0.9362
ir,barley,0.9333
gershom,gershom,0.9333
enosh,enosh,0.9333
mahalalel,mahalalel,0.9333
yared,jared,0.9333
sharon,sharon,0.9333
urim,urim,0.9333
nebuzaradan,nebuzaradan,0.9333
ittai,ittai,0.9333
haman,haman,0.9333
binnuyi,binnui,0.9333
beyer,beer,0.9333
yabin,jabin,0.9333
rehobowam,rehoboam,0.9318
nuhu,noah,0.9307
hazayel,hazael,0.9302
yusuf,joseph,0.9292
abram,abram,0.9286
uzziya,uzziah,0.9286
saira,sarai,0.9286
en,en,0.9268
iliya,elijah,0.9261
iblis,devil,0.9254
yahudiya,judea,0.9247
firist,priest,0.9241
uriya,uriah,0.9231
amasa,amasa,0.9231
shema,shema,0.9231
yotam,jotham,0.9231
fenuwel,penuel,0.9231
malluk,malluch,0.9231
firiskila,aquila,0.9231
korint,corinth,0.9231
yerub,jerubbaal,0.9231
shafan,shaphan,0.9231
ikoniyum,iconium,0.9231
sairin,cyrene,0.9231
abarim,abarim,0.9231
hanta,liver,0.9231
leɓatun,toe,0.9231
hagar,hagar,0.9231
el,el,0.9231
manowa,manoah,0.9231
tafanes,tahpanhes,0.9231
salkuna,wineskins,0.9231
samson,samson,0.9211
eli,eli,0.9206
kiristi,christ,0.9202
bet,beth,0.9194
yohanna,john,0.9181
barnabas,barnabas,0.918
ishmayel,ishmael,0.9167
hannatu,hannah,0.9167
ish,ishbosheth,0.9167
jahannama,gehenna,0.9167
dan,dan,0.9143
manna,manna,0.9143
balak,balak,0.9114
yaƙub,jacob,0.9096
husha,hushathite,0.9091
isshiya,isshiah,0.9091
ahilud,ahilud,0.9091
hakkoz,hakkoz,0.9091
mawon,maon,0.9091
moza,moza,0.9091
refahiya,rephaiah,0.9091
ehud,ehud,0.9091
shuwal,shual,0.9091
galatiya,galatia,0.9091
bahurim,bahurim,0.9091
nob,nob,0.9091
maƙalawa,breastplate,0.9091
yunana,jonah,0.9091
hiridus,herod,0.9091
mattiyu,matthew,0.9091
barikin,barracks,0.9091
ananiyas,ananias,0.9091
likita,physician,0.9091
haƙori,tooth,0.9091
tummim,thummim,0.9091
farantansa,dishes,0.9091
mamre,mamre,0.9091
shittim,shittim,0.9091
lazarus,lazarus,0.9091
gibeya,gibeah,0.907
tagulla,bronze,0.9062
yosiya,josiah,0.9057
mowab,moab,0.9032
mur,myrrh,0.9032
tabanakul,tabernacle,0.9021
zif,ziph,0.9
zur,zur,0.9
mikmash,michmash,0.9
meriba,meribah,0.9
ango,bridegroom,0.9
dabino,palm,0.8986
yefta,jephthah,0.898
zuma,honey,0.8966
sennakerib,sennacherib,0.8966
kwanduna,baskets,0.8966
asiya,asia,0.8947
azurfa,silver,0.8938
omi,naomi,0.8936
ƙonawa,burnt,0.8931
gobe,tomorrow,0.8929
ezra,ezra,0.8929
edom,edom,0.8918
kafara,atonement,0.8914
aho,ahohite,0.8889
gad,gad,0.8889
alfadarai,mules,0.8889
shihor,shihor,0.8889
set,seth,0.8889
shamma,shammah,0.8889
hodawiya,hodaviah,0.8889
ashan,ashan,0.8889
meyunawa,meunim,0.8889
hagirawa,hagrites,0.8889
bani,bani,0.8889
anatot,anathoth,0.8889
nowa,mahlah,0.8889
imna,imnah,0.8889
addar,addar,0.8889
maƙaryaci,liar,0.8889
hankaki,ravens,0.8889
wuƙaƙe,knives,0.8889
awen,aven,0.8889
hawwa,eve,0.8889
azaniya,jaazaniah,0.8889
tob,tob,0.8889
ikoki,principalities,0.8889
muƙaddasan,presidents,0.8889
abib,abib,0.8889
hatak,hathach,0.8889
rameses,rameses,0.8889
yetro,jethro,0.8889
zohar,zohar,0.8889
zattu,zattu,0.8889
dabbare,speckled,0.8889
kyarkeci,wolf,0.8889
horonayim,horonaim,0.8889
sefer,sepher,0.8889
anat,anath,0.8889
abis,abyss,0.8889
ilu,michael,0.8824
shilo,shiloh,0.8824
simeyon,simeon,0.8791
shuɗi,blue,0.8791
ƙetarewa,passover,0.8777
zaki,lion,0.875
netofa,netophathite,0.875
gishiri,salt,0.875
yekoniya,jeconiah,0.875
gwauruwa,widow,0.875
shebna,shebna,0.875
tobiya,tobiah,0.875
tariyar,warp,0.875
am,balaam,0.8741
yowash,joash,0.8723
ruben,reuben,0.8718
yehoyahaz,jehoahaz,0.8718
keretawa,cherethites,0.8696
ruhaniya,spiritual,0.8696
karnuka,dogs,0.8696
maskil,contemplation,0.8696
talenti,talents,0.8684
hadad,hadad,0.8684
malaman,scribes,0.8682
karanta,read,0.8682
ammonawa,ammon,0.8677
masarawa,egyptians,0.8671
zabura,psalm,0.8661
adamu,adam,0.8649
farisa,persia,0.8621
bulus,paul,0.8611
alkama,wheat,0.8602
zakariya,zechariah,0.86
abiyel,abiel,0.8571
aiya,aiah,0.8571
gomer,gomer,0.8571
goliyat,goliath,0.8571
miliyon,million,0.8571
yeremot,jeremoth,0.8571
onis,onyx,0.8571
efrata,ephrathah,0.8571
mesha,mesha,0.8571
bilha,bilhah,0.8571
ashtarot,ashtaroth,0.8571
yashub,jashub,0.8571
hushim,hushim,0.8571
shutela,shuthelah,0.8571
sera,serah,0.8571
alemet,alemeth,0.8571
sallu,sallu,0.8571
aljanu,demons,0.8571
alliyar,ashtoreth,0.8571
karmel,carmel,0.8571
raƙumi,camel,0.8571
buntus,pontius,0.8571
